property_type,seller_name,price(rs),area_insqft,location
3 BHK Apartment,Mahalakshmi Associates Pvt Ltd,11295000,1506,Madhanandapuram
4 BHK Villa,Jehovah Builders,23400000,2600,Porur
1 BHK Apartment,Sree Aishwaryam,3287221,469,Medavakkam
2 BHK Apartment,MP Developers,5614400,968,Pammal
1 BHK Apartment,Baashyaam Group,1420800,444,Thandalam
2 BHK Apartment,Karuppaswamy Builders,5015000,1003,Kundrathur
2 BHK Apartment,Sree Guru Foundations Pvt Ltd,5551000,854,Gowrivakkam
3 BHK Apartment,GP Homes,8859645,1305,Mugalivakkam
3 BHK Apartment,Sagar Grandhi Constructions Pvt Ltd,8800000,1600,Sholinganallur
4 BHK Apartment,Urban Tree Infrastructures,15701000,2243,Manapakkam
4 BHK Apartment,Casagrand Builder Private Limited,13500000,3588,Perungalathur
2 BHK Apartment,The Nest Builder,6434840,945,
3 BHK Apartment,Emerald Haven Realty Limited,8698808,1208,Porur
2 BHK Apartment,ACS Promoters,5032700,853,Pammal
3 BHK Apartment,Royal Civil Tech,7314300,1161,Iyyappanthangal
2 BHK Apartment,Raunaq Foundations,7316400,1092,Pallavaram
2 BHK Apartment,Hanu Homes,5690432,1096,Perumbakkam
3 BHK Apartment,RPN Constructions Pvt Ltd,17050579,1421,Guindy
2 BHK Apartment,Aadhiti Constructions Chennai Pvt Ltd,6240000,780,Kolathur
3 BHK Apartment,Dugar Housing Ltd,38800839,2211,Nungambakkam
3 BHK Apartment,Kaaviya Properties Pvt Ltd,26320000,1645,Anna Nagar
2 BHK Apartment,Ruby Builders,4831400,986,Selaiyur
2 BHK Apartment,NCC Urban Infrastructure Limited,10810065,1432,Sholinganallur
2 BHK Apartment,Jones Foundations,4535625,1025,Sithalapakkam
3 BHK Apartment,Kochar Homes Pvt Ltd,27365941,1806,Velachery
3 BHK Apartment,MS Charan Builders Private Limited,8827000,1358,Perungalathur
2 BHK Apartment,Sidharth Foundation Housing Ltd,6800000,1262,Manapakkam
3 BHK Villa,MGP Builders and Devlopers,13000000,1355,Sholinganallur
Residential Plot,Grand Magnum Housing Pvt Ltd,3337304,926,Thirumazhisai
1 BHK Apartment,Roofvest Real Estate LLP,2700000,519,Sholinganallur
3 BHK Apartment,Russel Foundation Pvt Ltd,9353500,1439,Selaiyur
4 BHK Villa,Anugraha Gated Community,11001000,3000,Poonamallee
Residential Plot,Sri City Developers,2995144,856,Pudupakkam
3 BHK Apartment,Opera Housing Pvt Ltd,20150000,1550,Ashok nagar
3 BHK Apartment,Viceroy Foundations,9294750,1377,Mugalivakkam
2 BHK Apartment,AARRAA HOMES,8055000,895,Kolathur
3 BHK Apartment,Shantiniketan,4672525,1307,Kelambakkam
3 BHK Apartment,Bluemoon Properties,11048700,1300,Valasaravakkam
Residential Plot,GTK Foundations,4318200,1800,Manimangalam
2 BHK Apartment,Geeyam Constructions LLP,20000000,1041,Mylapore
4 BHK Apartment,Nahar Foundation?s Pvt Ltd,58514000,3442,Egmore
2 BHK Apartment,Newry Properties P Ltd,7671580,1295,Avadi
2 BHK Apartment,Doshi Housing,8289470,1106,Karapakkam
2 BHK Apartment,Navin Housing Properties P LTD,8200000,1002,Vengaivasal
2 BHK Apartment,Tulive GK Shetty,5917975,1225,East Tambaram
2 BHK Apartment,Harmony Residences Pvt Ltd,15598960,1040,Ashok nagar
2 BHK Apartment,Saradeuz Realty Constructions,5536000,900,Perumbakkam
3 BHK Apartment,Naaghappa Shelters,19188000,1599,Nanganallur
3 BHK Apartment,Mithun Foundations,7634000,1388,Medavakkam
2 BHK Apartment,Silversky Builders Llp,5307500,965,Puzhal
3 BHK Apartment,Incor PBEL City,6772500,1505,Kelambakkam
2 BHK Apartment,Dolly Homes Builders Promoters,5984550,1023,Medavakkam
3 BHK Apartment,Khurinji Homes,27084000,1464,Adyar
3 BHK Villa,Budget Housing And Properties,4300616,1283,Sevvapet
2 BHK Apartment,Arun Excello Homes Private Limited,2964750,670,Guduvancheri
2 BHK Apartment,Thilaga Construction Pvt Ltd,5848000,860,Madhavaram
2 BHK Apartment,Space Age infra,4796600,827,Kolathur
3 BHK Apartment,SS Buildtech,31950000,1775,Thiruvanmiyur
3 BHK Villa,VGN Homes,13498776,1692,Padur
3 BHK Villa,Ramaniyam Real Estate Builders,25200000,1788,Kottivakkam
4 BHK Apartment,Casagrand Builder Private Limited,13500000,3586,Perungalathur
2 BHK Apartment,Casagrand Builder Private Limited,3700000,952,Perungalathur
4 BHK Apartment,Casagrand Builder Private Limited,13500000,3583,Perungalathur
4 BHK Apartment,Casagrand Builder Private Limited,13500000,3588,Perungalathur
3 BHK Apartment,Casagrand Builder Private Limited,5900000,1530,Perungalathur
4 BHK Apartment,Casagrand Builder Private Limited,13500000,3586,Perungalathur
4 BHK Apartment,Casagrand Builder Private Limited,13500000,3583,Perungalathur
3 BHK Apartment,Casagrand Builder Private Limited,5500000,1137,Perungalathur
3 BHK Apartment,Casagrand Builder Private Limited,5900000,1530,Perungalathur
3 BHK Apartment,Casagrand Builder Private Limited,5500000,1137,Perungalathur
2 BHK Apartment,Casagrand Builder Private Limited,4400000,1131,Perungalathur
3 BHK Apartment,Casagrand Builder Private Limited,4500000,1136,Perungalathur
2 BHK Apartment,Casagrand Builder Private Limited,4400000,1131,Perungalathur
2 BHK Apartment,Casagrand Builder Private Limited,4500000,1015,Kundrathur
3 BHK Apartment,Casagrand Builder Private Limited,27400000,2082,Kilpauk
3 BHK Apartment,The Nest Builder,8222666,1420,Sithalapakkam
4 BHK Apartment,Casagrand Builder Private Limited,14900000,2375,Sholinganallur
2 BHK Apartment,Mohan,5604000,934,Semmancheri
2 BHK Apartment,Mohan,5400000,900,Semmancheri
2 BHK Apartment,Mohan,5436000,906,Semmancheri
3 BHK Apartment,Hanu Homes,7788000,1500,Perumbakkam
3 BHK Apartment,Hanu Homes,7616664,1467,Perumbakkam
3 BHK Apartment,Royal Civil Tech,7755300,1231,Iyyappanthangal
2 BHK Apartment,Raunaq Foundations,5762000,860,Pallavaram
2 BHK Apartment,Raunaq Foundations,6686600,998,Pallavaram
3 BHK Apartment,Raunaq Foundations,8710000,1300,Pallavaram
2 BHK Apartment,Raunaq Foundations,6445400,962,Pallavaram
2 BHK Apartment,Raunaq Foundations,6224300,929,Pallavaram
2 BHK Apartment,Raunaq Foundations,5936200,886,Pallavaram
3 BHK Apartment,Raunaq Foundations,6385100,953,Pallavaram
3 BHK Apartment,Raunaq Foundations,8984700,1341,Pallavaram
3 BHK Apartment,Raunaq Foundations,8549200,1276,Pallavaram
3 BHK Apartment,Raunaq Foundations,8576000,1280,Pallavaram
2 BHK Apartment,Raunaq Foundations,6840700,1021,Pallavaram
2 BHK Apartment,Raunaq Foundations,6170700,921,Pallavaram
3 BHK Apartment,Raunaq Foundations,17307500,1505,Aminjikarai
3 BHK Apartment,Raunaq Foundations,8864100,1323,Pallavaram
2 BHK Apartment,Raunaq Foundations,12178500,1059,Aminjikarai
2 BHK Apartment,Raunaq Foundations,6324800,944,Pallavaram
3 BHK Apartment,Raunaq Foundations,19883500,1729,Aminjikarai
3 BHK Apartment,Raunaq Foundations,6385100,953,Pallavaram
3 BHK Apartment,Raunaq Foundations,8984700,1341,Pallavaram
3 BHK Apartment,Raunaq Foundations,8549200,1276,Pallavaram
3 BHK Apartment,Raunaq Foundations,8576000,1280,Pallavaram
2 BHK Apartment,Raunaq Foundations,6840700,1021,Pallavaram
2 BHK Apartment,Raunaq Foundations,6170700,921,Pallavaram
3 BHK Apartment,Raunaq Foundations,17307500,1505,Aminjikarai
3 BHK Apartment,Nahar Foundation?s Pvt Ltd,32096000,1888,Egmore
4 BHK Apartment,Nahar Foundation?s Pvt Ltd,59109000,3477,Egmore
3 BHK Apartment,Nahar Foundation?s Pvt Ltd,32232000,1896,Egmore
3 BHK Apartment,Nahar Foundation?s Pvt Ltd,31671000,1863,Egmore
3 BHK Apartment,Sasikumar,9063000,1140,Madipakkam
3 BHK Apartment,Sasikumar,11980650,1507,Madipakkam
